City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Santa Rosa,PH,82.99,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
103,Alofi,NU,78.8,clear sky,-19.0595,-169.9187,Taloa Heights
105,Ambulu,ID,81.23,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
106,Sampit,ID,82.81,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
107,Bengkulu,ID,83.34,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
109,Labuhan,ID,85.41,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
112,Dhuwaran,IN,78.8,haze,22.2333,72.8,Amul parlour
118,Bonfim,BR,74.88,overcast clouds,3.0833,-59.95,
120,Waingapu,ID,85.05,light rain,-9.6567,120.2641,Pondok Wisata Elim
122,Kampot,KH,86.0,clear sky,10.6167,104.1833,Two Moons Hotel
128,Limulunga,ZM,75.04,overcast clouds,-15.0969,23.1376,Acamms Gardens
133,East London,ZA,82.4,clear sky,-33.0153,27.9116,Tu Casa
137,Isangel,VU,78.8,heavy intensity rain,-19.55,169.2667,Volcano Sea View Tree House
139,Ilhabela,BR,75.61,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
140,Hilo,US,73.4,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
141,Saldanha,ZA,71.6,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
143,La Asuncion,VE,75.94,broken clouds,11.0333,-63.8628,Colinas de Matasiete
146,Pochutla,MX,71.01,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
147,Auki,SB,80.94,broken clouds,-8.7676,160.7034,Auki Motel
150,Monte Alegre,BR,73.44,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
151,Tambacounda,SN,75.2,clear sky,13.7539,-13.7586,
152,Makakilo City,US,71.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
159,Saint-Philippe,RE,86.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
165,Sungairaya,ID,83.5,light rain,0.7,108.9,Mess P.Milu
166,Pedernales,DO,75.6,overcast clouds,18.0384,-71.744,Hotel Costa Marina
174,Sambava,MG,84.69,few clouds,-14.2667,50.1667,Melrose
178,Geraldton,AU,87.8,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
180,Natal,BR,78.8,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
185,Sola,VU,84.2,moderate rain,-13.8833,167.55,Leumerus Bungalows
186,Sabla,NG,78.91,scattered clouds,12.7525,4.7077,
187,Ouadda,CF,82.69,broken clouds,8.0777,22.4007,
188,Kavieng,PG,83.5,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
198,Cayenne,GF,71.6,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
200,Saint-Pierre,RE,86.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
202,Mitsamiouli,KM,83.19,light rain,-11.3847,43.2844,Foyer ADM
204,Tucuman,AR,71.6,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
205,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
208,Aitape,PG,83.79,overcast clouds,-3.1374,142.3475,
210,Biak,ID,83.28,light rain,-0.9131,122.8766,Penginapan Kim
211,Resistencia,AR,75.99,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
212,Caravelas,BR,76.26,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
213,Barra Do Corda,BR,71.76,moderate rain,-5.5,-45.25,Belchior Palace Hotel
215,Copala,MX,73.36,broken clouds,16.65,-98.9833,Biol. Fernando Martinez Salgado
216,Victoria Point,AU,73.99,light rain,-27.5833,153.3,Bay Retreat Motel
222,Guanare,VE,71.15,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
228,Srandakan,ID,83.55,overcast clouds,-7.9386,110.2506,Puri Brata
233,Vanimo,PG,83.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
238,Plettenberg Bay,ZA,76.87,clear sky,-34.0527,23.3716,Thanda Vista B&B
242,Waddan,LY,72.61,clear sky,29.1614,16.139,محل الشريف محمد العايب
244,Rangkasbitung,ID,84.0,light rain,-6.3591,106.2494,Hotel Bumi Katineung
246,Cidreira,BR,72.41,clear sky,-30.1811,-50.2056,Hotel Castelo
247,Mangrol,IN,80.44,clear sky,21.1167,70.1167,Hotel The Royal Honours
250,Mwense,ZM,72.01,overcast clouds,-10.3845,28.698,Mwense Council Guest House
256,Tombouctou,ML,73.8,clear sky,20.0,-3.0,
258,Dingle,PH,77.59,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
259,Itarema,BR,78.55,broken clouds,-2.9248,-39.9167,Windvillage
264,Dwarka,IN,74.23,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
265,Faanui,PF,81.63,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
266,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
268,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
269,Ballina,AU,75.2,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
270,Palmas,BR,73.4,light rain,-10.2128,-48.3603,Hotel Lago da Palma
277,Bireun,ID,81.93,moderate rain,5.202999999999999,96.7009,Hotel Fajar
279,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
280,Acapulco,MX,73.94,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
283,Pokhara,NP,76.57,overcast clouds,28.2333,83.9833,Hotel View Point
284,Arraial Do Cabo,BR,75.79,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
287,Lashio,MM,79.61,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
288,Puerto Escondido,MX,74.12,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
293,Tezu,IN,79.88,clear sky,27.9167,96.1667,Circuit House
294,San Policarpo,PH,80.38,few clouds,12.1791,125.5072,JM Lodge
295,Surt,LY,70.23,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
297,Vao,NC,77.95,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
298,Beni,CD,80.47,broken clouds,0.5,29.4667,Albertine hotel
299,Uribia,CO,77.45,overcast clouds,11.7139,-72.266,Hotel Uribia
300,Sao Joao Da Barra,BR,75.27,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
304,Boali,CF,78.8,scattered clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
305,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
313,Gat,IL,70.0,clear sky,31.61,34.7642,OlusHome
314,Port Lincoln,AU,75.69,clear sky,-34.7333,135.8667,Port Lincoln Hotel
316,Koumac,NC,84.24,moderate rain,-20.5667,164.2833,Le Monitel
320,Jamame,SO,88.83,clear sky,0.0722,42.7506,
323,Limbang,MY,86.0,broken clouds,4.75,115.0,Purnama Hotel
325,Mae Hong Son,TH,86.0,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
329,Harper,LR,80.29,clear sky,4.375,-7.7169,Screensaver
330,Pundaguitan,PH,82.8,clear sky,6.3711,126.1689,Leonardo Family Beach House 1
340,Kendari,ID,85.28,overcast clouds,-3.945,122.4989,Hotel Wixel
342,Santa Cruz,BO,73.4,broken clouds,-17.8,-63.1667,Hotel Cortez
343,Sal Rei,CV,71.6,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
346,Awbari,LY,70.88,clear sky,26.5921,12.7805,فندق أوباري
348,Gouyave,GD,78.8,light rain,12.1646,-61.7296,Rumboat Retreat
349,Padang,ID,84.2,moderate rain,-0.9492,100.3543,Mercure Padang
354,Boa Vista,BR,77.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
355,Mount Gambier,AU,84.2,scattered clouds,-37.8333,140.7667,Commodore on the Park
361,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
366,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
367,Moranbah,AU,71.87,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
369,Tessalit,ML,76.71,clear sky,20.1986,1.0114,
372,Mackay,AU,77.0,moderate rain,-21.15,149.2,International Lodge Motel
375,Muswellbrook,AU,73.99,clear sky,-32.2667,150.9,Wayfarer Motel
380,Mecca,SA,79.43,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
382,Mayumba,GA,80.56,scattered clouds,-3.432,10.6554,LIKWALE LODGE
383,Tibati,CM,79.0,overcast clouds,6.4667,12.6333,Tibati Hotel
385,Sibut,CF,84.72,scattered clouds,5.718,19.0739,
388,Umm Lajj,SA,81.75,clear sky,25.0213,37.2685,Moon light Furnished Units
389,Pasighat,IN,76.93,scattered clouds,28.0667,95.3333,Siang Guest House
390,Raga,SS,81.93,broken clouds,8.4596,25.678,
